url,sessionid,from_ip,date_created,user,platform_id,combi,req,starts,25,ratio
http://www.onf.ca/film/au_bout_de_mon_age/,6eb3824550a777261753df5b90810198,174.93.192.103,"2012-11-25 19:42:00",AnonymousUser,11,http://www.onf.ca/film/au_bout_de_mon_age/_174.93.192.103_6eb3824550a777261753df5b90810198,105,101,1,0.0099
http://www.nfb.ca/film/chocolate_farmer/trailer/chocolate_farmer_trailer,8c39610998b43a8f3b4c1076817aa2ac,70.55.30.48,"2012-11-26 20:51:43",AnonymousUser,2,http://www.nfb.ca/film/chocolate_farmer/trailer/chocolate_farmer_trailer_70.55.30.48_8c39610998b43a8f3b4c1076817aa2ac,104,104,0,0.0000
http://www.nfb.ca/film/me_and_mosque/,27cb0be39e4afed7490b7479f7c9b28f,136.152.29.182,"2012-11-26 21:13:39",AnonymousUser,21,http://www.nfb.ca/film/me_and_mosque/_136.152.29.182_27cb0be39e4afed7490b7479f7c9b28f,111,109,0,0.0000
http://www.onf.ca/film/bottes_sauvages/,8e68ba42027beec30a091e91b11f08e6,24.226.160.253,"2012-11-24 05:07:27",AnonymousUser,11,http://www.onf.ca/film/bottes_sauvages/_24.226.160.253_8e68ba42027beec30a091e91b11f08e6,112,109,1,0.0092
http://www.nfb.ca/film/challenger_an_industrial_romance/,d7f0e3272c14214d0c23715690921838,216.113.24.1,"2012-11-28 06:40:41",AnonymousUser,21,http://www.nfb.ca/film/challenger_an_industrial_romance/_216.113.24.1_d7f0e3272c14214d0c23715690921838,116,113,1,0.0088
http://www.nfb.ca/film/surviving-progress/trailer/surviving_progress_trailer,c0f5694a45f4af6ee3a2053f0388d8c9,108.174.16.246,"2012-11-26 21:38:56",AnonymousUser,2,http://www.nfb.ca/film/surviving-progress/trailer/surviving_progress_trailer_108.174.16.246_c0f5694a45f4af6ee3a2053f0388d8c9,115,115,0,0.0000
http://www.nfb.ca/film/whos_counting/,4212dfe31b44837ba37dfe936b2d1e78,64.229.247.156,"2012-11-25 10:54:09",AnonymousUser,2,http://www.nfb.ca/film/whos_counting/_64.229.247.156_4212dfe31b44837ba37dfe936b2d1e78,122,119,1,0.0084
http://www.onf.ca/film/ma_grand-mere_repassait_les_chemises_du_roi/,9ca6303cc064315f649dd1c9b60864cd,177.32.39.71,"2012-11-27 07:06:04",AnonymousUser,11,http://www.onf.ca/film/ma_grand-mere_repassait_les_chemises_du_roi/_177.32.39.71_9ca6303cc064315f649dd1c9b60864cd,127,124,1,0.0081
http://www.onf.ca/film/peuple_invisible/trailer/peuple-invisible-bande-annonce,9186149fa1ed95c38c445a4874b4f340,50.21.133.53,"2012-11-28 22:06:17",AnonymousUser,11,http://www.onf.ca/film/peuple_invisible/trailer/peuple-invisible-bande-annonce_50.21.133.53_9186149fa1ed95c38c445a4874b4f340,126,126,0,0.0000
http://www.nfb.ca/film/55_socks/trailer/55_socks_trailer,8c1f258384311d5a74d8f0f7eb4d14ca,92.30.105.85,"2012-11-24 18:10:22",AnonymousUser,2,http://www.nfb.ca/film/55_socks/trailer/55_socks_trailer_92.30.105.85_8c1f258384311d5a74d8f0f7eb4d14ca,130,130,0,0.0000
http://www.onf.ca/film/affaire_coca-cola/trailer/affaire-coca-cola-l-trailer-17855,f75ea470b6684beabe440dc52ef76b5e,74.56.106.227,"2012-11-23 19:22:58",AnonymousUser,11,http://www.onf.ca/film/affaire_coca-cola/trailer/affaire-coca-cola-l-trailer-17855_74.56.106.227_f75ea470b6684beabe440dc52ef76b5e,132,132,0,0.0000
http://www.nfb.ca/film/me_and_mosque/,27cb0be39e4afed7490b7479f7c9b28f,136.152.26.193,"2012-11-26 19:12:43",AnonymousUser,21,http://www.nfb.ca/film/me_and_mosque/_136.152.26.193_27cb0be39e4afed7490b7479f7c9b28f,134,133,1,0.0075
http://www.nfb.ca/film/bacon_le_film/,b3b1e66b8fb033ac405ba9bf6a9851e8,206.41.90.243,"2012-11-27 09:23:25",AnonymousUser,2,http://www.nfb.ca/film/bacon_le_film/_206.41.90.243_b3b1e66b8fb033ac405ba9bf6a9851e8,141,140,1,0.0071
http://www.nfb.ca/film/final_offer/,84b717e2b76031b53e551719cc33f991,140.247.161.97,"2012-11-28 00:03:22",AnonymousUser,2,http://www.nfb.ca/film/final_offer/_140.247.161.97_84b717e2b76031b53e551719cc33f991,144,144,0,0.0000
http://www.nfb.ca/film/alfred_desrochers_poete/,7170b1c9b4aac874e757190204de3088,70.30.212.174,"2012-11-23 19:56:59",AnonymousUser,2,http://www.nfb.ca/film/alfred_desrochers_poete/_70.30.212.174_7170b1c9b4aac874e757190204de3088,147,145,1,0.0069
http://www.nfb.ca/film/exile_a_myth_unearthed/trailer/exile_trailer,980bb9fd2288016f88174bb42d76dd33,99.233.157.190,"2012-11-28 21:43:28",AnonymousUser,2,http://www.nfb.ca/film/exile_a_myth_unearthed/trailer/exile_trailer_99.233.157.190_980bb9fd2288016f88174bb42d76dd33,147,147,0,0.0000
http://www.nfb.ca/film/stravinsky/,d660ede1df3f356a2efbece60f51d5a9,207.216.140.44,"2012-11-25 00:01:01",AnonymousUser,2,http://www.nfb.ca/film/stravinsky/_207.216.140.44_d660ede1df3f356a2efbece60f51d5a9,156,156,0,0.0000
http://www.onf.ca/film/oncle_bob_a_lhopital/,cfa1cd5c37edcc378603fed10ede5ba4,205.237.72.37,"2012-11-23 12:39:26",AnonymousUser,11,http://www.onf.ca/film/oncle_bob_a_lhopital/_205.237.72.37_cfa1cd5c37edcc378603fed10ede5ba4,166,160,2,0.0125
http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce,013aeacdad14c2a1ff42208d4871cc09,142.100.231.11,"2012-11-28 08:38:46",AnonymousUser,11,http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce_142.100.231.11_013aeacdad14c2a1ff42208d4871cc09,193,191,1,0.0052
http://www.nfb.ca/film/oumar_9-1-1/,d909c6b6f21d71d669f565d665a48c41,132.204.239.254,"2012-11-26 14:05:41",anouckalary,2,http://www.nfb.ca/film/oumar_9-1-1/_132.204.239.254_d909c6b6f21d71d669f565d665a48c41,202,198,1,0.0051
http://www.nfb.ca/film/alfred_desrochers_poete/,7170b1c9b4aac874e757190204de3088,70.30.212.174,"2012-11-27 15:59:17",AnonymousUser,2,http://www.nfb.ca/film/alfred_desrochers_poete/_70.30.212.174_7170b1c9b4aac874e757190204de3088,212,209,0,0.0000
http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce,712d13ad980bfbda19aa9b83b40138dd,70.82.201.208,"2012-11-26 16:51:57",AnonymousUser,11,http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce_70.82.201.208_712d13ad980bfbda19aa9b83b40138dd,241,241,0,0.0000
http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce,6a05b9e078c750f01faf259139b7412e,184.160.195.14,"2012-11-23 05:22:18",AnonymousUser,11,http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce_184.160.195.14_6a05b9e078c750f01faf259139b7412e,246,246,0,0.0000
http://www.nfb.ca/film/act_of_dishonour/trailer/act_of_dishonour_trailer,287a77a1332df5f98c42a25af6c7b5d1,24.207.106.227,"2012-11-28 12:13:20",AnonymousUser,2,http://www.nfb.ca/film/act_of_dishonour/trailer/act_of_dishonour_trailer_24.207.106.227_287a77a1332df5f98c42a25af6c7b5d1,247,247,0,0.0000
http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce,e19664784f5d707928e19ad2c25fb1da,184.160.197.20,"2012-11-23 22:29:50",AnonymousUser,11,http://www.onf.ca/film/une-derniere-chance/trailer/une_derniere_chance_bande_annonce_184.160.197.20_e19664784f5d707928e19ad2c25fb1da,251,251,0,0.0000
http://www.onf.ca/film/courtepointe_fr/,07a223715a5aa294a5c8850439c2f0b4,82.122.231.105,"2012-11-23 03:05:03",AnonymousUser,11,http://www.onf.ca/film/courtepointe_fr/_82.122.231.105_07a223715a5aa294a5c8850439c2f0b4,253,253,0,0.0000
http://www.nfb.ca/film/portrait/trailer/portrait_trailer,31747c373addd07b8c62cb1b7fba6443,174.119.12.149,"2012-11-28 16:14:18",AnonymousUser,2,http://www.nfb.ca/film/portrait/trailer/portrait_trailer_174.119.12.149_31747c373addd07b8c62cb1b7fba6443,323,323,0,0.0000
http://www.nfb.ca/film/van_doos_in_afghanistan_press/trailer/van_doos_in_afghanistan_dto,ba033d53031e6199749e6a7be14df934,99.229.165.135,"2012-11-27 13:05:55",AnonymousUser,2,http://www.nfb.ca/film/van_doos_in_afghanistan_press/trailer/van_doos_in_afghanistan_dto_99.229.165.135_ba033d53031e6199749e6a7be14df934,342,342,0,0.0000
http://www.nfb.ca/film/outbreak_anatomy_of_a_plague/trailer/outbreak_trailer,9c3c4959a6190d68ba73d03f47c1f6e1,216.123.242.130,"2012-11-24 08:28:18",AnonymousUser,2,http://www.nfb.ca/film/outbreak_anatomy_of_a_plague/trailer/outbreak_trailer_216.123.242.130_9c3c4959a6190d68ba73d03f47c1f6e1,362,362,0,0.0000
http://www.nfb.ca/film/last-chance/trailer/last_chance_trailer,4641e21e6acfd82787d7526c7d659a9a,68.232.66.218,"2012-11-27 22:02:57",AnonymousUser,2,http://www.nfb.ca/film/last-chance/trailer/last_chance_trailer_68.232.66.218_4641e21e6acfd82787d7526c7d659a9a,415,415,0,0.0000
http://www.nfb.ca/film/up_the_yangtze/trailer/up-the-yangtze-trailer,1fabeb949794499ae7a838984af9cfed,69.165.215.133,"2012-11-25 07:00:57",AnonymousUser,2,http://www.nfb.ca/film/up_the_yangtze/trailer/up-the-yangtze-trailer_69.165.215.133_1fabeb949794499ae7a838984af9cfed,442,442,0,0.0000
http://www.nfb.ca/film/eloge_du_chiac_part_2/trailer/eloge_du_chiac_part_bande_annonce,5e2cad8f82fca5ed51d2ad7e86c38eb3,142.134.75.32,"2012-11-23 23:01:43",AnonymousUser,2,http://www.nfb.ca/film/eloge_du_chiac_part_2/trailer/eloge_du_chiac_part_bande_annonce_142.134.75.32_5e2cad8f82fca5ed51d2ad7e86c38eb3,445,445,0,0.0000
http://www.nfb.ca/film/stravinsky/,d660ede1df3f356a2efbece60f51d5a9,207.216.140.44,"2012-11-24 18:59:27",AnonymousUser,2,http://www.nfb.ca/film/stravinsky/_207.216.140.44_d660ede1df3f356a2efbece60f51d5a9,466,464,1,0.0022
http://www.onf.ca/film/recit_dune_mediation/,d3194fda19d01ca9a507a119b099656d,74.58.189.86,"2012-11-24 14:14:22",AnonymousUser,11,http://www.onf.ca/film/recit_dune_mediation/_74.58.189.86_d3194fda19d01ca9a507a119b099656d,486,483,1,0.0021
http://www.nfb.ca/film/exile_a_myth_unearthed/trailer/exile_trailer,71526d458f574b5f1b83f9345e19851d,74.64.62.10,"2012-11-28 17:52:18",AnonymousUser,2,http://www.nfb.ca/film/exile_a_myth_unearthed/trailer/exile_trailer_74.64.62.10_71526d458f574b5f1b83f9345e19851d,493,493,0,0.0000
http://www.nfb.ca/film/bevel-up-drugs-users-and-outreach-n-stub-536186/trailer/bevel_up_trailer,055bf13eee519defe0fa8b7c8bef26fb,199.84.62.189,"2012-11-23 19:18:53",AnonymousUser,2,http://www.nfb.ca/film/bevel-up-drugs-users-and-outreach-n-stub-536186/trailer/bevel_up_trailer_199.84.62.189_055bf13eee519defe0fa8b7c8bef26fb,515,515,0,0.0000
